id,name,ref,highway
363917866,"",rn2,trunk
970630906,"",rn2,trunk
970630918,"",rn2,trunk
970630920,"",rn2,trunk
970630919,"",rn2,trunk
418641289,"",rn2,trunk
378334092,"",rn2,trunk
418641286,"",rn2,trunk
429360852,"",rn2,trunk
983606845,"",rn2,trunk
983607168,"",rn2,trunk
983607169,"",rn2,trunk
983606846,"",rn2,trunk
983853941,"",rn2,trunk
983853942,"",rn2,trunk
429360839,"",rn2,trunk
371309417,pont luvungu,rn5,trunk
423211885,"",rn5,trunk
1066339369,"",rn5,trunk
150027690,"",rn5,trunk
785121452,"",rn5,trunk
198732761,"",rn5,trunk
198732760,"",rn5,trunk
198732763,"",rn5,trunk
151042635,avenue de l'athénée,"",residential
583991650,avenue de la cathédrale,"",residential
317412741,avenue saïo,"",residential
195933511,avenue sinelac,"",residential
151042667,avenue saïo,"",residential
151042684,avenue des sports,"",residential
151042615,avenue kasavubu,"",tertiary
151042698,avenue du lac,"",tertiary
135999562,avenue kasavubu,"",tertiary
151362151,place royale,"",tertiary
198244506,"",dr5,tertiary
916863797,"",dr5,tertiary
467772389,"",rn2,trunk
135767803,place major vangu,"",primary
470697913,route d'uvira,"",primary
470697914,route d'uvira,"",primary
470697910,avenue victimes de la rébellion,rn2,trunk
551173522,"",rn2,trunk
470697909,avenue victimes de la rébellion,rn2,trunk
195185964,boulevard de l'abattoir,"",residential
165918449,"",nr11,trunk
150027694,ruzizi international bridge,"",primary
151042503,avenue paysage,"",residential
135767809,avenue de l'hippodrome,"",tertiary
583721636,avenue de l'hippodrome,"",tertiary
151042717,avenue irambo,"",residential
195926340,avenue de golfe,"",unclassified
583721641,avenue de golfe,"",unclassified
195869760,avenue pesage1,"",unclassified
97283025,avenue de l'hippodrome,"",tertiary
195869747,avenue kalehe,"",tertiary
731737357,avenue paysage,"",residential
135767805,avenue fizi,"",residential
151042606,avenue des mimosas,"",residential
151042541,avenue patrice emery lumumba,rn29,primary
33590990,avenue patrice emery lumumba,"",tertiary
151042487,corniche de nia-lukemba,"",residential
151042650,fizi 2,"",living_street
151042499,fizi 2,"",living_street
583544445,avenue patrice emery lumumba,rn29,primary
583250401,avenue patrice emery lumumba,rn29,primary
135999531,place mulamba,rn29,primary
939461001,place mulamba,"",primary
939461000,place mulamba,rn29,primary
583544444,avenue de l'hippodrome,"",tertiary
583250400,avenue de l'hippodrome,"",tertiary
939460999,place mulamba,"",primary
583544443,avenue muhumba,"",unclassified
151042529,avenue semuliki,"",residential
1067633416,"",rn5,trunk
150928164,avenue victimes de la rébellion,"",tertiary
150928157,rue trambo,"",unclassified
151042587,avenue de la cité,"",residential
1002732622,avenue de la cité,"",residential
1002732623,avenue de la cité,"",residential
151042642,avenue de la funu,"",residential
1003594095,avenue de la funu,"",residential
1003594094,avenue de la funu,"",residential
150928158,route d'uvira,"",primary
192349443,avenue du centre,"",residential
195926339,avenue victimes de la rébellion,rn2,trunk
199022518,avenue liesnard,"",tertiary
150928139,rond point carrefour,"",tertiary
1003594108,avenue de la mission,"",unclassified
199022517,avenue liesnard,"",residential
1003594109,avenue de la mission,"",unclassified
195926343,avenue de la mission,"",unclassified
583987001,corniche kahawa canalisee,"",living_street
195926342,avenue de la kahawa,"",residential
151042651,avenue de la cité,"",residential
195926341,avenue de la kahawa,"",residential
46166503,avenue industrielle,rn2,trunk
195926345,route d'uvira,rn5,primary
583926774,avenue du maniema,"",residential
1085893093,route d'uvira,rn5,primary
470812921,avenue industrielle,rn2;rn5,trunk
470812923,avenue industrielle,rn2;rn5,trunk
470694360,"",rn2,trunk
470694358,"",rn2,trunk
79495823,"",rn2,trunk
361499834,escalier pageco,"",footway
151362149,avenue de la poste,rn29,primary
922891575,avenue semuliki,"",living_street
583214745,avenue semuliki,"",living_street
583214746,avenue semuliki,"",living_street
583250402,avenue patrice emery lumumba,rn29,primary
135999538,avenue patrice emery lumumba,rn29,primary
135767808,avenue lushoze,"",residential
583250399,avenue patrice emery lumumba,rn29,primary
