id,name,hierarchy_level,type
-100000000005387971,bendera,8,neighborhood
-100000000005387975,shindaika,8,neighborhood
-100000000005387972,kawama,8,neighborhood
-100000000005399819,kalukuluku,8,neighborhood
-100000000005387973,luano,8,neighborhood
-100000000005387804,lualaba,8,neighborhood
-100000000005387806,luvua,8,neighborhood
-100000000005387805,luapula,8,neighborhood
-100000000005400829,bukama,8,neighborhood
-100000000005399824,bana katanga,8,neighborhood
-100000000005399822,lufira,8,neighborhood
-100000000005399823,musumba,8,neighborhood
-100000000005400833,n'sele,8,neighborhood
-100000000005411466,kaponda sud,8,neighborhood
-100000000005411287,kaponda nord,8,neighborhood
-100000000005399821,kisale,8,neighborhood
-100000000005399826,upemba,8,neighborhood
-100000000002650257,uvira,8,neighborhood
-100000000009592420,les volcans,8,neighborhood
-100000000009592421,mapendo,8,neighborhood
-100000000009592422,mikeno,8,neighborhood
-100000000012762190,kyeshero,8,neighborhood
-100000000009592419,katindo,8,neighborhood
-100000000009592423,himbi,8,neighborhood
-100000000012762191,lac vert,8,neighborhood
-100000000012761357,mabanga sud,8,neighborhood
-100000000012761500,kasika,8,neighborhood
-100000000012761356,mabanga nord,8,neighborhood
-100000000012761062,virunga,8,neighborhood
-100000000012761188,bujovu,8,neighborhood
-100000000012761189,kahembe,8,neighborhood
-100000000012761061,murara,8,neighborhood
-100000000012761267,majengo,8,neighborhood
-100000000012761900,ndosho,8,neighborhood
-100000000012761901,katoyi,8,neighborhood
-100000000012761899,mugunga,8,neighborhood
-100000000009998675,molende,8,neighborhood
-100000000009998674,kwango,8,neighborhood
-100000000009998809,nsele,8,neighborhood
-100000000009998807,mampuya,8,neighborhood
-100000000009998806,mobutu,8,neighborhood
-100000000009998808,kamyanola,8,neighborhood
-100000000009998676,salamita,8,neighborhood
-100000000009999563,bosembo,8,neighborhood
-100000000009999562,kimvuka,8,neighborhood
-100000000009999560,ngamilele,8,neighborhood
-100000000009999559,malebo,8,neighborhood
-100000000009999170,air congo,8,neighborhood
-100000000009999567,ifuri,8,neighborhood
-100000000009999566,lisala,8,neighborhood
-100000000009999169,salongo,8,neighborhood
-100000000014364561,ndeke-zulu,8,neighborhood
-100000000014364357,lumbi,8,neighborhood
-100000000014364023,mwandeke,9,locality
-100000000014364023,mwandeke,9,locality
-100000000016345604,kilemi,9,locality
-100000000016345602,la victoire,9,locality
-100000000016345603,goshen,9,locality
-100000000016719414,toyabo i,9,locality
-100000000016719413,toyabo ii,9,locality
-100000000016719412,cbca,9,locality
-100000000016346055,komboke,9,locality
-100000000016346051,colombe,9,locality
-100000000016346052,mandungu,9,locality
-100000000016346053,mont carmel,9,locality
-100000000016346162,fabia,9,locality
-100000000016346163,vaweka,9,locality
-100000000016345606,tokabo,9,locality
-100000000016345607,kisangani,9,locality
-100000000016345605,bakuwasa,9,locality
-100000000016346165,singoma,9,locality
-100000000016346164,muhimbo,9,locality
-100000000016346166,lonjamuzi,9,locality
-100000000016346054,istm nyakunde,9,locality
-100000000016345703,musa,9,locality
-100000000016345705,bungishabaku,9,locality
-100000000016345706,kakani,9,locality
-100000000016345704,ngumyabo,9,locality
-100000000016250475,andisoma,9,locality
-100000000016251484,gety 1,9,locality
-100000000016251482,mbandaka 2,9,locality
-100000000016251483,gety 2,9,locality
-100000000016251487,zelangai na pokwa 1,9,locality
-100000000016251486,dalanga,9,locality
-100000000016251226,lugbara,9,locality
-100000000016251224,zelangai na pokwa 2,9,locality
-100000000016250348,air zaïre,9,locality
-100000000016251481,mbandaka 1,9,locality
